Account,InsatnceId,InsatnceName,Tags,SecurityGroup,FromPort,IpRanges
784550693460,i-003a3c28d31359c50,dt-001-poc-client,"[{u'Value': 'Dynatrace', u'Key': 'Application'}, {u'Value': 'dt-001-poc-client', u'Key': 'Name'}, {u'Value': 'PoC', u'Key': 'Environment'}, {u'Value': 'g9263', u'Key': 'CreatedBy'}, {u'Value': 'Dynatrace_server', u'Key': 'Function'}]",dynatrace_sg,22,['0.0.0.0/0']
784550693460,i-09ad534517d6fdec1,apigee-bastion-host-srv,"[{u'Value': 'jjvx6gm', u'Key': 'CreatedBy'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:966497653753:stack/apigee-bastion-host/8a551700-5836-11e7-a923-50a68ad4f2c6', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'BastionSrv', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'Apigee', u'Key': 'Application'}, {u'Value': 'BastionHost', u'Key': 'Function'}, {u'Value': 'PoC', u'Key': 'Environment'}, {u'Value': 'apigee-bastion-host-srv', u'Key': 'Name'}, {u'Value': '1079910609', u'Key': 'CostCenter'}, {u'Value': 'AZD.IT-BVG1.O2-SOFTWARE', u'Key': 'ManagedBy'}, {u'Value': 'apigee-bastion-host', u'Key': 'aws:cloudformation:stack-name'}]",apigee-bastion-host-BastionSrvPortsSecGrp-11PTIHS4IB2PI,22,['0.0.0.0/0']
784550693460,i-0c4b90339b573c29b,dtsg-001-poc,"[{u'Value': '', u'Key': 'Environment'}, {u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'dtsg-001-poc', u'Key': 'Name'}, {u'Value': 'Dynatrace', u'Key': 'Application'}, {u'Value': 'hgtt5k4', u'Key': 'CreatedBy'}, {u'Value': 'Dynatrace_secure_gateway', u'Key': 'Function'}, {u'Value': '', u'Key': 'ManagedBy'}]",dynatrace_sg,22,['0.0.0.0/0']
784550693460,i-0a2467719dc715db3,web-access-management/Environment,"[{u'Value': 'web-access-management/Environment', u'Key': 'Name'}, {u'Value': 'w116210', u'Key': 'Owner'}]",launch-wizard-6,22,['0.0.0.0/0']
784550693460,i-03ec9f1239e3727f2,poc-bastion-2-message-broker,"[{u'Value': 'poc-bastion-2-message-broker', u'Key': 'Name'}]",launch-wizard-9,22,['0.0.0.0/0']
303747409146,i-09937a4b4975ef4d2,artifactoryhost1.cc.azd.cloud.allianz (Primary node),"[{u'Value': 'ArtifactoryAScalingGroupPrimary', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'BVG2-E5', u'Key': 'CostCenter'}, {u'Value': 'Cc', u'Key': 'Environment'}, {u'Value': 'D-IT-BVG2-E5', u'Key': 'ManagedBy'}, {u'Value': 'Artifactory', u'Key': 'Function'}, {u'Value': 'artifactoryhost1.cc.azd.cloud.allianz (Primary node)', u'Key': 'Name'}, {u'Value': 'ArtifactoryInstancesProd-ArtifactoryAScalingGroupPrimary-1IAOOZSXDMZZ6', u'Key': 'aws:autoscaling:groupName'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/ArtifactoryInstancesProd/026e7fc0-774e-11e7-a349-50a68a770ce6', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'ArtifactoryInstancesProd', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'D-IT-BVG2-E5', u'Key': 'CreatedBy'}, {u'Value': 'Artifactory', u'Key': 'Application'}]",ArtifactoryInfrastructureProd-Ec2ArtifactoryDefaultSG-7GUQHBMYDCOB,22,['0.0.0.0/0']
303747409146,i-0b94a671b225da7da,psec-oauth-test-asg,"[{u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'test', u'Key': 'Stage'}, {u'Value': 'OAuth-Provider', u'Key': 'Function'}, {u'Value': '2018.03-10', u'Key': 'ApplicationVersion'}, {u'Value': 'D-IT-KUV2', u'Key': 'ManagedBy'}, {u'Value': 'OAuth-Provider', u'Key': 'Application'}, {u'Value': 'psec-oauth-test-asg-2018-03-21-12-31-58-AutoScalingGroup-823YY0TUU8GX', u'Key': 'aws:autoscaling:groupName'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/psec-oauth-test-asg-2018-03-21--12-31-58/d914a200-2d03-11e8-9a40-50fafb4f9cae', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'D-IT-KUV2', u'Key': 'CreatedBy'}, {u'Value': 'AutoScalingGroup', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'psec-oauth-test-asg', u'Key': 'Name'}, {u'Value': 'psec-oauth-test-asg-2018-03-21--12-31-58', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'Dev', u'Key': 'Environment'}]",psec-oauth-test-asg-2018-03-21-12-31-58-SecurityGroup-1TFA894YYJFM8,22,['0.0.0.0/0']
303747409146,i-072dca850bb762891,psec-oauth-test-asg,"[{u'Value': 'psec-oauth-test-asg-2018-03-21-12-31-58-AutoScalingGroup-823YY0TUU8GX', u'Key': 'aws:autoscaling:groupName'}, {u'Value': 'Dev', u'Key': 'Environment'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/psec-oauth-test-asg-2018-03-21--12-31-58/d914a200-2d03-11e8-9a40-50fafb4f9cae', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'D-IT-KUV2', u'Key': 'ManagedBy'}, {u'Value': 'OAuth-Provider', u'Key': 'Function'}, {u'Value': 'psec-oauth-test-asg', u'Key': 'Name'}, {u'Value': 'AutoScalingGroup', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': '2018.03-10', u'Key': 'ApplicationVersion'}, {u'Value': 'OAuth-Provider', u'Key': 'Application'}, {u'Value': 'psec-oauth-test-asg-2018-03-21--12-31-58', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'D-IT-KUV2', u'Key': 'CreatedBy'}, {u'Value': 'test', u'Key': 'Stage'}]",psec-oauth-test-asg-2018-03-21-12-31-58-SecurityGroup-1TFA894YYJFM8,22,['0.0.0.0/0']
303747409146,i-043bccd2fcc236276,adnovum@cim,"[{u'Value': 'POC', u'Key': 'Function'}, {u'Value': 'CC', u'Key': 'Environment'}, {u'Value': 'CIM-POC', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/CIM-POC/583023b0-af6f-11e7-b942-50a68a770c82', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'adnovum', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'xs47as', u'Key': 'ManagedBy'}, {u'Value': 'D-IT-BVG1-O2', u'Key': 'Owner'}, {u'Value': 'adnovum@cim', u'Key': 'Name'}, {u'Value': 'CIM', u'Key': 'Application'}]",CIM-POC-CimSg-1R8SKX9EJJ2JQ,22,['10.0.0.0/8']
303747409146,i-080240591a7cdbfc4,web-dtsrv,"[{u'Value': 'PROD', u'Key': 'Environment'}, {u'Value': 'D-IT-BVG1-O2', u'Key': 'Owner'}, {u'Value': 'web-dtsrv', u'Key': 'Name'}, {u'Value': 'web-dtsrv', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'AutoScalingGroup', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'AZD', u'Key': 'CostCenter'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/web-dtsrv/0a997a80-2c4b-11e8-bdf1-500c52a6ce9a', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'rqr6v5e', u'Key': 'ManagedBy'}, {u'Value': 'web-dtsrv-AutoScalingGroup-C18WKWPPNIZC', u'Key': 'aws:autoscaling:groupName'}, {u'Value': 'web-dtsrv', u'Key': 'Application'}, {u'Value': 'Dynatrace Web Layer', u'Key': 'Function'}]",web-dtsrv-ApacheDTSG-1NJEFHIBESQNC,22,"['10.26.206.109/32', '10.250.72.82/32']"
